"reg","year","val"
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.96897965916625
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.867361301262588
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.803181285744485
"C",2020,0.867361301262588
"C",2020,0.867361301262588
"C",2020,0.71225959709384
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.71225959709384
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.96897965916625
"C",2020,0.96897965916625
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.867361301262588
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,0.96897965916625
"C",2020,0.96897965916625
"C",2020,0.71225959709384
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.867361301262588
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.96897965916625
"C",2020,0.96897965916625
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,0.813877954997502
"C",2020,0.958282989913233
"C",2020,0.803181285744485
"C",2020,0.96897965916625
"C",2020,0.813877954997502
"C",2020,0.71225959709384
"C",2020,0.803181285744485
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.803181285744485
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.813877954997502
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.813877954997502
"C",2020,0.803181285744485
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.867361301262588
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,0.813877954997502
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,0.96897965916625
"C",2020,0.96897965916625
"C",2020,0.813877954997502
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,0.803181285744485
"C",2020,0.813877954997502
"C",2020,0.96897965916625
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.813877954997502
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.71225959709384
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.96897965916625
"C",2020,0.803181285744485
"C",2020,0.867361301262588
"C",2020,0.96897965916625
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.71225959709384
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,0.867361301262588
"C",2020,0.803181285744485
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,0.803181285744485
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.71225959709384
"C",2020,0.71225959709384
"C",2020,0.867361301262588
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.813877954997502
"C",2020,0.96897965916625
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.813877954997502
"C",2020,0.71225959709384
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.867361301262588
"C",2020,0.71225959709384
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.96897965916625
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.803181285744485
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.803181285744485
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,0.803181285744485
"C",2020,0.71225959709384
"C",2020,0.71225959709384
"C",2020,0.867361301262588
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.71225959709384
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,0.813877954997502
"C",2020,0.813877954997502
"C",2020,0.867361301262588
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.96897965916625
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.803181285744485
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.813877954997502
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.96897965916625
"C",2020,0.813877954997502
"C",2020,0.958282989913233
"C",2020,0.96897965916625
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.958282989913233
"C",2020,0.803181285744485
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.958282989913233
"C",2020,0.96897965916625
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.71225959709384
"C",2020,0.813877954997502
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.71225959709384
"C",2020,0.813877954997502
"C",2020,0.71225959709384
"C",2020,0.813877954997502
"C",2020,0.803181285744485
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.803181285744485
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.803181285744485
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.867361301262588
"C",2020,0.867361301262588
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.958282989913233
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.71225959709384
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.96897965916625
"C",2020,0.958282989913233
"C",2020,0.867361301262588
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.71225959709384
"C",2020,0.96897965916625
"C",2020,0.96897965916625
"C",2020,0.867361301262588
"C",2020,0.813877954997502
"C",2020,0.867361301262588
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.803181285744485
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.96897965916625
"C",2020,0.803181285744485
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.803181285744485
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.813877954997502
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,0.96897965916625
"C",2020,0.867361301262588
"C",2020,0.813877954997502
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.803181285744485
"C",2020,0.813877954997502
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.803181285744485
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.71225959709384
"C",2020,0.803181285744485
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.71225959709384
"C",2020,0.803181285744485
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.71225959709384
"C",2020,0.867361301262588
"C",2020,0.867361301262588
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.867361301262588
"C",2020,0.958282989913233
"C",2020,0.867361301262588
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.867361301262588
"C",2020,0.803181285744485
"C",2020,0.803181285744485
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.96897965916625
"C",2020,0.813877954997502
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,0.867361301262588
"C",2020,0.803181285744485
"C",2020,0.813877954997502
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,0.867361301262588
"C",2020,0.803181285744485
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.96897965916625
"C",2020,0.813877954997502
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.803181285744485
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,0.71225959709384
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,0.803181285744485
"C",2020,0.813877954997502
"C",2020,0.96897965916625
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.803181285744485
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.867361301262588
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.803181285744485
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.813877954997502
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.813877954997502
"C",2020,0.867361301262588
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.867361301262588
"C",2020,0.96897965916625
"C",2020,0.71225959709384
"C",2020,0.96897965916625
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.867361301262588
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,0.813877954997502
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,0.96897965916625
"C",2020,0.96897965916625
"C",2020,0.867361301262588
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.958282989913233
"C",2020,0.803181285744485
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.958282989913233
"C",2020,0.867361301262588
"C",2020,0.867361301262588
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.813877954997502
"C",2020,0.813877954997502
"C",2020,0.813877954997502
"C",2020,0.867361301262588
"C",2020,1
"C",2020,0.71225959709384
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.96897965916625
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,1
"C",2020,0.813877954997502
"C",2020,0.96897965916625
"C",2020,0.958282989913233
"C",2020,0.71225959709384
"C",2020,1
"C",2020,1
"C",2020,0.803181285744485
"C",2020,0.71225959709384
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.71225959709384
"C",2020,0.803181285744485
"C",2020,0.813877954997502
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.803181285744485
"C",2020,0.813877954997502
"C",2020,0.96897965916625
"C",2020,0.96897965916625
"C",2020,0.803181285744485
"C",2020,1
"C",2020,0.867361301262588
"C",2020,0.71225959709384
"C",2020,1
